The entries matching your request:  (A maximun result of 3000 entries is viewable at anyone time)
county name,manor name,estate name,start year,end year,wheat gross yield per seed ratio,barley gross yield per seed ratio,dredge gross yield per seed ratio,oats gross yield per seed ratio,source
Berkshire,Brightwell,Bishop of Winchester,1347,1348,,5.26,4.25,5.2,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1348,1349,,4.64,2.75,0.55,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1349,1350,3.34,3.91,,2.08,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1350,1351,3.62,4.26,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1351,1352,3.61,3.64,,1.21,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1352,1353,5.43,6.26,,1.35,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1353,1354,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1354,1355,3.91,5.82,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1355,1356,4.75,3.38,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1356,1357,3.51,3.49,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1357,1358,5.79,4.75,,1.67,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1358,1359,4.15,4.82,,2.82,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1359,1360,6.12,4.02,,4.5,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1360,1361,5.46,4.51,,3.42,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1361,1362,3.86,3.81,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1362,1363,5.52,4.03,,2.93,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1363,1364,3.23,6.28,,10.7,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1364,1365,8.8,6.78,,8.3,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1365,1366,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1366,1367,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1367,1368,6.98,5.27,,3.25,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1368,1369,5.17,5.88,,3.77,Titow (to 1349); Farmer (from 1350)
